country_code,id,country,country_long,Gold Medal,Silver Medal,Bronze Medal,Total,total_population
ALB,8,Albania,Albania,0,0,2,2,2745972.0
ARG,32,Argentina,Argentina,1,1,1,3,46654581.0
ARM,51,Armenia,Armenia,0,3,1,4,2777970.0
AUS,36,Australia,Australia,18,19,16,53,26638544.0
AUT,40,Austria,Austria,2,0,3,5,9132383.0
AZE,31,Azerbaijan,Azerbaijan,2,2,3,7,10112555.0
BEL,56,Belgium,Belgium,3,1,6,10,11822592.0
BRA,76,Brazil,Brazil,3,7,10,20,216422446.0
BRN,96,Bahrain,Bahrain,2,1,1,4,452524.0
CPV,132,Cabo Verde,Cabo Verde,0,0,1,1,598682.0
CAN,124,Canada,Canada,9,7,11,27,40097761.0
CHN,156,China,People's Republic of China,40,27,24,91,1410710000.0
COL,170,Colombia,Colombia,0,3,1,4,52085168.0
CIV,384,Côte d'Ivoire,Côte d'Ivoire,0,0,1,1,28873034.0
CUB,192,Cuba,Cuba,2,1,6,9,11194449.0
CYP,196,Cyprus,Cyprus,0,1,0,1,1260138.0
CZE,203,Czechia,Czechia,3,0,2,5,10873689.0
DMA,212,Dominica,Dominica,1,0,0,1,73040.0
DOM,214,Dominican Republic,Dominican Republic,1,0,2,3,11332972.0
ECU,218,Ecuador,Ecuador,1,2,2,5,18190484.0
EGY,818,Egypt,Egypt,1,1,1,3,112716598.0
ETH,231,Ethiopia,Ethiopia,1,3,0,4,126527060.0
FRA,250,France,France,16,26,22,64,68170228.0
GEO,268,Georgia,Georgia,3,3,1,7,3760365.0
HKG,344,"Hong Kong, China","Hong Kong, China",2,0,2,4,7536100.0
HUN,348,Hungary,Hungary,6,7,6,19,9589872.0
IND,356,India,India,0,1,5,6,1428627663.0
IRL,372,Ireland,Ireland,4,0,3,7,5262382.0
ISR,376,Israel,Israel,1,5,1,7,9756700.0
ITA,380,Italy,Italy,12,13,15,40,58761146.0
JAM,388,Jamaica,Jamaica,1,3,2,6,2825544.0
JPN,392,Japan,Japan,20,12,13,45,124516650.0
JOR,400,Jordan,Jordan,0,1,0,1,11337052.0
KAZ,398,Kazakhstan,Kazakhstan,1,3,3,7,19900177.0
KEN,404,Kenya,Kenya,4,2,5,11,55100586.0
PRK,408,DPR Korea,Democratic People's Republic of Korea,0,2,4,6,26160821.0
KOR,410,Korea,Republic of Korea,13,9,10,32,51712619.0
KGZ,417,Kyrgyzstan,Kyrgyzstan,0,2,4,6,7100800.0
LTU,440,Lithuania,Lithuania,0,2,2,4,2871897.0
MEX,484,Mexico,Mexico,0,3,2,5,128455567.0
MDA,498,Republic of Moldova,Republic of Moldova,0,1,3,4,2486891.0
MAR,504,Morocco,Morocco,1,0,1,2,37840044.0
NZL,554,New Zealand,New Zealand,10,7,3,20,5223100.0
NOR,578,Norway,Norway,4,1,3,8,5519594.0
PAK,586,Pakistan,Pakistan,1,0,0,1,240485658.0
PAN,591,Panama,Panama,0,1,0,1,4468087.0
PER,604,Peru,Peru,0,0,1,1,34352719.0
POL,616,Poland,Poland,1,4,5,10,36685849.0
QAT,634,Qatar,Qatar,0,0,1,1,2716391.0
ROU,642,Romania,Romania,3,4,2,9,19056116.0
LCA,662,Saint Lucia,Saint Lucia,1,1,0,2,180251.0
SRB,688,Serbia,Serbia,3,1,1,5,6618026.0
SGP,702,Singapore,Singapore,0,0,1,1,5917648.0
SVK,703,Slovakia,Slovakia,0,0,1,1,5426740.0
ESP,724,Spain,Spain,5,4,9,18,48373336.0
SWE,752,Sweden,Sweden,4,4,3,11,10536632.0
TJK,762,Tajikistan,Tajikistan,0,0,3,3,10143543.0
THA,764,Thailand,Thailand,1,3,2,6,71801279.0
TUN,788,Tunisia,Tunisia,1,1,1,3,12458223.0
TUR,792,Türkiye,Türkiye,0,3,5,8,85326000.0
UGA,800,Uganda,Uganda,1,1,0,2,48582334.0
UKR,804,Ukraine,Ukraine,3,5,4,12,37000000.0
GBR,826,Great Britain,Great Britain,14,22,29,65,68350000.0
USA,840,United States,United States of America,40,44,42,126,334914895.0
UZB,860,Uzbekistan,Uzbekistan,8,2,3,13,36412350.0
